,Date_added,GRE_Q,GRE_V,GRE_W,GRE_sub,ST,Undergrad_GPA,admission_date,admission_status,admission_via,degree,institution,notes,program,season
4097,4 Feb 2017,,,,,I,,3 Feb 2017,Accepted,E-mail,Masters,North Carolina State University  (NCSU),Applied to PhD program but got this new PhD track master program offer,Statistics,F17
4098,4 Feb 2017,160.0,160.0,4.5,,A,3.6,4 Feb 2017,Other,E-mail,PhD,Virgina Tech,"Was told I was on the ""short list"" pending a Skype interview with the grad admissions committee.",Statistics,F17
4099,4 Feb 2017,160.0,160.0,4.5,,A,3.6,24 Jan 2017,Other,E-mail,PhD,University Of Georgia,Accepted without guaranteed funding ==> No thanks.,Statistics,F17
4100,4 Feb 2017,166.0,162.0,3.5,,I,4.0,4 Feb 2017,Rejected,Website,PhD,Duke,,Statistics,F17
4101,3 Feb 2017,170.0,160.0,4.0,,A,3.53,25 Jan 2017,Accepted,E-mail,PhD,The University Of North Carolina - Chapel Hill (UNC),,Interdisciplinary Statistics & Operations Research,F17
4102,3 Feb 2017,,,,,A,,3 Feb 2017,Other,E-mail,PhD,UC Los Angeles (UCLA),"According to vice chair, they will begin sending out decisions in a month or so.",Statistics,F17
4103,3 Feb 2017,,,,,A,,3 Feb 2017,Rejected,Website,PhD,Duke University,,Statistics,F17
4104,3 Feb 2017,,,,,A,,3 Feb 2017,Rejected,E-mail,PhD,Duke University,"domestic applicant, Statistics MS in top 5 program, no subject GRE, several publications in other fields",Statistics (Statistical Science),F17
4105,3 Feb 2017,170.0,154.0,3.0,870.0,U,,3 Feb 2017,Rejected,E-mail,PhD,Duke,"sigh, know this result since no interview",Statistics,F17
4106,3 Feb 2017,,,,,U,,3 Feb 2017,Rejected,E-mail,PhD,Duke Univeraity,"huh, another one.",Statistics,F17
4107,3 Feb 2017,166.0,169.0,5.0,,A,3.6,3 Feb 2017,Rejected,Website,PhD,Duke University,Email to check website.,Statistics,F17
4108,3 Feb 2017,,,,,I,,2 Feb 2017,Rejected,E-mail,PhD,Harvard (GSAS),,Statistics,F17
4109,3 Feb 2017,168.0,152.0,3.5,,A,3.85,2 Feb 2017,Accepted,E-mail,PhD,The University Of Iowa,offered a quarter-time stipend (about 9K for 10 hours a TA work a week). will decline,Statistics,F17
4110,3 Feb 2017,167.0,165.0,4.0,,U,3.65,3 Feb 2017,Rejected,E-mail,PhD,NCSU (North Carolina State University) (NC State),"I was rejected for PhD program, but admitted to the paid master PhD-track program (not sure what I should expect from this program).",Statistics,F17
4111,3 Feb 2017,162.0,158.0,4.0,,A,,2 Feb 2017,Accepted,E-mail,Masters,NC State University (NCSU),In-state status,A.M Statistics,F17
4112,3 Feb 2017,,,,,U,,3 Feb 2017,Rejected,E-mail,Masters,Harvard (GSAS),,A.M Statistics,F17
4113,2 Feb 2017,154.0,170.0,3.0,870.0,U,3.89,2 Feb 2017,Rejected,E-mail,PhD,Harvard Universty,,Statistics,F17
4114,2 Feb 2017,,,,,U,,2 Feb 2017,Rejected,Website,Masters,Havard University,totally expected this result,A.M Statistics,F17
4115,2 Feb 2017,152.0,167.0,3.5,,U,3.68,2 Feb 2017,Accepted,E-mail,Masters,NC State (North Carolina State),"first accepted, still exciting about this!",Statistics Master,F17
4116,2 Feb 2017,,,,,I,,2 Feb 2017,Other,E-mail,PhD,UC Los Angeles (UCLA),Anybody received any response? Any idea when UCLA will begin sending out decisions?,Statistics,F17
4117,2 Feb 2017,170.0,167.0,4.5,,U,3.81,2 Feb 2017,Rejected,E-mail,PhD,Harvard (GSAS),,Statistics,F17
4118,2 Feb 2017,,,,,A,,2 Feb 2017,Rejected,Website,PhD,Harvard  University,Got a better acceptance already so no biggie,Statistics,F17
4119,2 Feb 2017,,,,,A,,2 Feb 2017,Rejected,E-mail,PhD,Harvard (Graduate School Of Arts And Sciences),,Statistics,F17
4120,2 Feb 2017,166.0,169.0,5.0,,A,3.6,2 Feb 2017,Rejected,E-mail,PhD,Harvard,"Email to check website. Top 5 undergrad, year of work experience, small amount of research experience in statistics and a more substantial amount in physics.",Statistics,F17
4121,2 Feb 2017,170.0,168.0,5.0,,U,3.93,2 Feb 2017,Rejected,Website,Masters,Harvard (Graduate School Of Arts And Sciences),,A.M Statistics,F17
4122,2 Feb 2017,,,,,U,,2 Feb 2017,Rejected,Website,PhD,Harvard (Graduate School Of Arts And Sciences),First Reject... More to come,A.M Statistics,F16
4123,2 Feb 2017,153.0,168.0,3.5,890.0,I,4.0,2 Feb 2017,Rejected,Website,PhD,Harvard (Graduate School Of Arts And Sciences),,Statistics,F17
4124,2 Feb 2017,,,,,I,,2 Feb 2017,Rejected,E-mail,PhD,Harvard,First reject. Hope at least can succeed in one of the applications,A.M Statistics,F16
4125,2 Feb 2017,,,,,U,,2 Feb 2017,Rejected,E-mail,PhD,Harvard (Graduate School Of Arts And Sciences),Totally expected. Still sad though.,A.M Statistics,F17
4126,2 Feb 2017,,,,,A,,2 Feb 2017,Rejected,Website,PhD,Harvard,First reject..,Statistics,F17
4127,2 Feb 2017,,,,,A,,2 Feb 2017,Rejected,E-mail,PhD,Harvard (Graduate School Of Arts And Sciences),,Statistics,F17
4128,2 Feb 2017,,,,,I,,2 Feb 2017,Rejected,Website,Masters,Harvard University,That's alright. The pain is real but life goes on.,A.M Statistics,F17
4129,2 Feb 2017,,,,,A,,2 Feb 2017,Rejected,E-mail,PhD,Harvard,,Statistics,F17
4130,2 Feb 2017,,,,,U,,2 Feb 2017,Rejected,E-mail,PhD,Harvard (Graduate School Of Arts And Sciences),,Statistics,F17
4131,2 Feb 2017,,,,,U,,2 Feb 2017,Rejected,E-mail,PhD,Harvard (GSAS),Well Harvard dropped the axe,A.M. Statistics,F17
4132,2 Feb 2017,,,,,A,,1 Feb 2017,Accepted,E-mail,PhD,University Of Illinois Urbana Champaign ( UIUC ),,Statistics,F17
4133,2 Feb 2017,,,,,A,,1 Feb 2017,Accepted,E-mail,PhD,Illinois At Urbana Champaign (UIUC),,Statistics,F17
4134,2 Feb 2017,167.0,160.0,3.5,,O,3.45,2 Feb 2017,Rejected,E-mail,PhD,The University Of Iowa,Second reject! =(,Statistics,F17
4135,2 Feb 2017,165.0,162.0,4.5,,A,3.97,1 Feb 2017,Accepted,E-mail,PhD,The University Of Illinois At Urbana-Champaign,"math degree, significant research experience, significant teaching experience. Will likely accept",Statistics,F17
4136,2 Feb 2017,170.0,165.0,3.0,880.0,I,,31 Jan 2017,Accepted,E-mail,PhD,Duke,,Statistics,F17
4137,1 Feb 2017,,,,,U,,1 Feb 2017,Accepted,E-mail,PhD,University Of Texas At Austin (UT Austin),,Statistics,F17
4138,1 Feb 2017,170.0,156.0,3.0,890.0,I,3.87,1 Feb 2017,Accepted,E-mail,PhD,University Of Texas At Austin (UT Austin),Give 6 offers out of  ~160 applicants.,A.M. Statistics,F17
4139,1 Feb 2017,170.0,164.0,5.0,,A,3.97,1 Feb 2017,Accepted,E-mail,PhD,University Of Texas At Austin,,Statistics,F17
4140,1 Feb 2017,,,,,O,,31 Jan 2017,Accepted,E-mail,Masters,McMaster University,Excited!,MSc Statistics,F17
4141,1 Feb 2017,,,,,I,,31 Jan 2017,Accepted,Website,PhD,Harvard (GSAS),Email to check the website,Statistics,F17
4142,1 Feb 2017,,,,,I,,31 Jan 2017,Accepted,Website,PhD,Harvard University Graduate School Of Arts And Sciences,Email to check website,Statistics,F17
4143,1 Feb 2017,,,,,A,,31 Jan 2017,Accepted,Website,PhD,Harvard,,Statistics,F17
4144,31 Jan 2017,170.0,162.0,5.0,,I,3.92,30 Jan 2017,Accepted,Website,Masters,Columbia  University,,A.M. Statistics,F17
4145,31 Jan 2017,170.0,162.0,5.0,,I,3.92,30 Jan 2017,Accepted,Website,Masters,Yale  University,,A.M. Statistics,F17
4146,31 Jan 2017,,,,,I,,31 Jan 2017,Accepted,Website,Masters,Harvard (Graduate School Of Arts And Sciences),,A.M. Statistics,F17
4147,31 Jan 2017,,,,,A,,31 Jan 2017,Accepted,Website,PhD,Duke University,,Statistics,F17
4148,31 Jan 2017,163.0,169.0,5.5,,A,3.7,31 Jan 2017,Accepted,Website,Masters,Harvard  University,,Statistics,F17
4149,31 Jan 2017,161.0,167.0,4.0,,U,3.77,31 Jan 2017,Rejected,E-mail,Masters,The University Of Iowa,social science BA trying to change fields,A.M. Statistics,F17
4150,31 Jan 2017,,,,,I,,31 Jan 2017,Rejected,E-mail,Masters,London School Of Economics & Political Science (LSE),Both rejections were to taught programs.,MSc Statistics (Finance),F16
4151,31 Jan 2017,,,,,I,,31 Jan 2017,Rejected,E-mail,Masters,London School Of Economics & Political Science (LSE),,MSc Statistics,F17
4152,31 Jan 2017,97.0,97.0,93.0,,A,3.7,31 Jan 2017,Wait listed,E-mail,PhD,Duke,,Statistics,F17
4153,31 Jan 2017,170.0,168.0,5.0,,A,3.65,19 Jan 2017,Accepted,Phone,PhD,(SUNY) Stony Brook,,Applied Mathematics & Statistics,F17
4154,31 Jan 2017,156.0,155.0,4.5,,A,3.88,31 Jan 2017,Rejected,Other,PhD,Purdue University,Email to check website,Statistics,F17
4155,31 Jan 2017,169.0,148.0,3.5,900.0,I,3.9,31 Jan 2017,Accepted,Website,PhD,Harvard,"Yeahhhhhhh!
",Statistics,F17
4156,31 Jan 2017,165.0,160.0,4.5,,A,3.44,31 Jan 2017,Rejected,E-mail,Masters,The University Of Iowa,Very fast,Statistics,F17
4157,31 Jan 2017,,,,,U,,31 Jan 2017,Other,Other,PhD,Duke University,"To the post, they already sent interviews to 15% applicants before.",Statistics,F17
4158,31 Jan 2017,,,,,A,,31 Jan 2017,Accepted,Website,Masters,Harvard (Graduate School Of Arts And Sciences),First response from any program,A.M. Statistics,F17
4159,31 Jan 2017,,,,,A,,31 Jan 2017,Other,Other,PhD,Duke,Anyone heard back from Duke yet? They usually invite domestic students to interviews by now...,Statistics,F17
4160,31 Jan 2017,170.0,168.0,5.0,,A,3.8,31 Jan 2017,Accepted,E-mail,Masters,Harvard,"Five years work experience, no academic recommendations, but one from a colleague with a PhD in Operations Research.",A.M. Statistics,F17
4161,31 Jan 2017,,,,,A,,31 Jan 2017,Interview,E-mail,PhD,The University Of Chicago Booth School Of Business,,Ecnometrics And Statistics,F17
4162,31 Jan 2017,168.0,165.0,5.5,,A,3.44,28 Jan 2017,Accepted,E-mail,Masters,University Of Notre Dame,,Applied And Computational Mathematics And Statistics (ACMS),F17
4163,31 Jan 2017,,,,,I,,31 Jan 2017,Accepted,Website,Masters,Yale  University,,A.M. Statistics,F17
4164,30 Jan 2017,,,,,U,,27 Jan 2017,Interview,E-mail,PhD,Yale University,,Statistics,F17
4165,28 Jan 2017,163.0,160.0,5.0,,A,3.75,25 Jan 2017,Accepted,E-mail,PhD,Arizona Sate University (ASU),,Statistics,F17
4166,28 Jan 2017,163.0,160.0,9.2,,A,3.75,27 Jan 2017,Accepted,Website,PhD,UC Santa Barbara (UCSB),Good luck everybody!,Statistics,F17
4167,28 Jan 2017,,,,,U,,28 Jan 2017,Accepted,E-mail,PhD,University Of Chicago,Email to check the website. Super excited!,Statistics,F17
4168,28 Jan 2017,170.0,164.0,3.5,930.0,I,3.98,27 Jan 2017,Accepted,E-mail,PhD,University Of Chicago,Email to check website,Statistics,F17
4169,28 Jan 2017,,,,,I,,27 Jan 2017,Accepted,E-mail,PhD,University Of Chicago,Email to check decision docu*ents on its website,Statistics,F17
4170,28 Jan 2017,,,,,U,,28 Jan 2017,Accepted,Website,PhD,University Of Chicago,Good luck to everyone else,A.M. Statistics,F16
4171,27 Jan 2017,167.0,163.0,4.0,,A,3.94,27 Jan 2017,Interview,E-mail,PhD,Yale University,Email request for a skype interview,Statistics,F17
4172,27 Jan 2017,,,,,I,,27 Jan 2017,Other,E-mail,Masters,Stanford Univerisity,All decisions for the Data Sciences program will be made by end of february,Statistics,F17
4173,27 Jan 2017,166.0,169.0,4.5,,A,3.58,24 Jan 2017,Accepted,E-mail,PhD,TAMU (Texas A & M University),Top five undergrad. Worked two years in finance.,Statistics,F17
4174,27 Jan 2017,166.0,156.0,5.0,,A,3.63,27 Jan 2017,Interview,E-mail,PhD,The University Of Alabama (Tuscaloosa),,Applied Statistics,F17
4175,27 Jan 2017,162.0,159.0,4.0,,A,4.0,25 Jan 2017,Accepted,E-mail,PhD,(Arizona State University) ASU,This was great news! Haven't heard about financial aid yet though.,Statistics,F17
4176,27 Jan 2017,,,,,I,,22 Jan 2017,Accepted,E-mail,PhD,ีUniversity Of Maryland - College Park,Interviewed in mid-December and received the unofficial notification from the chair of adcomm by Christmas,Education - Measurement Statistics And Evaluation,F17
4177,26 Jan 2017,,,,,A,,15 Jan 2017,Accepted,E-mail,PhD,Ohio State (OSU),With potential fellowship. Asked to visit end of Feb,Statistics,F17
4178,25 Jan 2017,,,,,A,,25 Jan 2017,Accepted,E-mail,PhD,TAMU (Texas A&M University),,Statistics,F17
4179,24 Jan 2017,,,,,A,,24 Jan 2017,Accepted,Website,PhD,University Of Chicago,,Statistics,F17
4180,24 Jan 2017,167.0,163.0,4.0,,A,3.94,24 Jan 2017,Accepted,E-mail,PhD,University Of Chicago,Email to check website for decision,Statistics,F17
4181,24 Jan 2017,,,,,I,,24 Jan 2017,Accepted,E-mail,PhD,University Of Georgia (UGA),They sent a lot of admission without funding. Consider this when you apply.,Statistics,F17
4182,24 Jan 2017,,,,,U,,24 Jan 2017,Accepted,E-mail,PhD,(UGA) University Of Georgia,Very likely without finding to...,Statistics,F17
4183,24 Jan 2017,,,,,,,24 Jan 2017,Accepted,E-mail,PhD,(UGA) University Of Georgia,Very likely without funding,Statistics,F17
4184,24 Jan 2017,,,,,I,,23 Jan 2017,Rejected,E-mail,PhD,Purdue University,Email to check website,Statistics,F17
4185,22 Jan 2017,,,,,I,,18 Jan 2017,Accepted,E-mail,Masters,London School Of Economics & Political Science (LSE),,Statistics (Research),F17
4186,21 Jan 2017,,,,,O,,21 Jan 2017,Other,Website,PhD,University Of Texas At Austin,"well, considering the number of people who can see the housing section, for me it seems like the classification thing is only to do with the actual pool you are in (e.g. master if you are directly from bachelor to phd). I don't think it has any implication about our final decisions.",Statistics,F17
4187,21 Jan 2017,,,,,I,,21 Jan 2017,Other,Website,PhD,University Of Texas At Austin (UT Austin),"I can even submit an application for housing (Classification Doctoral) but I am unable to pay the fee. I am a bit unsure, since most of you applied for PhD or Master in CS but I applied for PhD in Statistics. I suppose different departments should have different decision days? Why it comes on the same day....",A.M. Statistics,F17
4188,21 Jan 2017,,,,,I,,21 Jan 2017,Other,Website,PhD,University Of Texas At Austin (UT Austin),I also see the Housing thing in MyStatus. On the housing page it shows Classification Doctoral. Seems it's unrelated to offer decisions?,A.M. Statistics,F17
4189,20 Jan 2017,159.0,167.0,4.0,,A,3.75,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington Seattle",,A.M. Statistics,F17
4190,20 Jan 2017,168.0,164.0,3.5,,U,,19 Jan 2017,Wait listed,E-mail,PhD,"""University Of Washington Seattle",,Statistics,F17
4191,20 Jan 2017,169.0,159.0,3.5,770.0,U,3.93,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington","Not surprised, expected.",Statistics,F17
4192,20 Jan 2017,,,,,A,,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington Seattle",no GRE subject,Statistics,F17
4193,20 Jan 2017,168.0,158.0,3.0,,I,3.71,20 Jan 2017,Rejected,E-mail,PhD,University Of Washington,"Soooo sad... No GRE Subject, but got a rec. from a professor close to UW.. still nothing..",Statistics,F17
4194,20 Jan 2017,167.0,61.0,4.0,,A,3.0,19 Jan 2017,Rejected,E-mail,PhD,The University Of Washington - Seattle,3.83 Masters GPA in Statistics,Statistics,F17
4195,20 Jan 2017,,,,,A,,19 Jan 2017,Rejected,E-mail,PhD,University Of Washington Seattle,,Statistics,F17
4196,20 Jan 2017,170.0,163.0,5.0,,A,3.97,19 Jan 2017,Accepted,E-mail,Masters,Ohio State (OSU),,Statistics,F17
4197,20 Jan 2017,170.0,170.0,5.0,,A,3.64,19 Jan 2017,Rejected,E-mail,PhD,"University Of Washington, Seattle (UW)",No subject GRE.,Statistics,F17
4198,19 Jan 2017,170.0,158.0,3.5,,U,3.9,19 Jan 2017,Interview,E-mail,PhD,Chicago Booth School Of Business,,Econometrics & Statistics,F17
4199,19 Jan 2017,167.0,160.0,4.0,800.0,A,3.92,19 Jan 2017,Rejected,E-mail,PhD,University Of Washington,It appears that Washington really only cares about near perfect GRE scores. Questionable and shallow process.,Statistics,F17
4200,19 Jan 2017,164.0,169.0,5.0,,A,3.8,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington Seattle","No GRE subject, large state school undergrad",Statistics,F17
4201,19 Jan 2017,,,,,U,,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington Seattle",My dream school. Sad :(,Statistics,F17
4202,19 Jan 2017,168.0,169.0,4.5,,,3.93,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington Seattle",,Statistics,F17
4203,19 Jan 2017,,,,,I,,19 Jan 2017,Rejected,E-mail,PhD,๊ืUniversity Of Washington,,Statistics,F17
4204,19 Jan 2017,95.0,60.0,42.0,95.0,I,4.0,19 Jan 2017,Rejected,E-mail,PhD,University Of Washington,,Statistics,F17
4205,19 Jan 2017,95.0,60.0,42.0,95.0,I,4.0,17 Jan 2017,Accepted,E-mail,PhD,University Of British Columbia (UBC),,Statistics,F17
4206,19 Jan 2017,,,,,A,,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington",,Statistics,F17
4207,19 Jan 2017,,,,,I,,14 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington Seattle",,Bio-Statistics,F17
4208,19 Jan 2017,170.0,164.0,5.0,,A,3.96,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington",,Statistics,F17
4209,19 Jan 2017,,,,,,,19 Jan 2017,Rejected,E-mail,PhD,University Of Washington,"domestic applicant, Statistics MS in top 5 program, no subject GRE, several publications in other fields",Statistics,F17
4210,19 Jan 2017,167.0,170.0,4.5,,A,3.88,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington Seattle",No gre subject. Top 10 University for undergrad. degree in math,Statistics,F17
4211,19 Jan 2017,,,,,U,,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington Seattle",NO GRE subject,Statistics,F17
4212,19 Jan 2017,166.0,169.0,5.0,,A,3.6,19 Jan 2017,Rejected,E-mail,PhD,University Of Washington,"Top 5 Undergrad. No publications, small research project in Statistics and a decent amount of research in Physics. No Math Subject GRE. Decision by email.",Statistics,F17
4213,19 Jan 2017,,,,,U,,19 Jan 2017,Rejected,E-mail,PhD,"""University Of Washington Seattle",,Statistics,F17
4214,19 Jan 2017,166.0,169.0,5.0,,A,3.6,19 Jan 2017,Accepted,Website,PhD,Ohio State Univerisity,"Top 5 Undergrad. No publications, small research project in Statistics and a decent amount of research in Physics. No notification. Decision was on the website.",Statistics,F17
4215,19 Jan 2017,,,,,I,,19 Jan 2017,Wait listed,E-mail,PhD,"""University Of Washington Seattle",,Statistics,F17
4216,19 Jan 2017,,,,,,,17 Jan 2017,Accepted,E-mail,PhD,Chapel Hill-UNC,,Statistics,F17
4217,19 Jan 2017,,,,,A,,19 Jan 2017,Accepted,E-mail,PhD,UNC Chapel Hill,,STATISTICS,F16
4218,19 Jan 2017,170.0,169.0,5.0,,I,3.81,18 Jan 2017,Accepted,E-mail,PhD,"""University Of Washington Seattle",no GRE subject,Statistics,F17
4219,18 Jan 2017,170.0,155.0,3.0,,I,3.6,18 Jan 2017,Rejected,Website,PhD,NC State University (NCSU),,Statistics,F17
4220,18 Jan 2017,170.0,164.0,5.5,,A,3.6,18 Jan 2017,Wait listed,E-mail,PhD,The University Of Washington,"2 publications, 3 in progress. didn't take GRE subject test because I didn't realize it was necessary for this application (all the other programs I applied to were CS which don't require). Looking forward to hearing from CS ML program at UWash.",Statistics,F17
4221,18 Jan 2017,170.0,170.0,5.0,,A,4.0,18 Jan 2017,Wait listed,E-mail,PhD,"""University Of Washington Seattle",,Statistics,F17
4222,18 Jan 2017,167.0,163.0,4.0,,A,3.94,18 Jan 2017,Wait listed,E-mail,PhD,The University Of Washington - Seattle,Email notifying me I was on the waitlist,Statistics,F17
4223,18 Jan 2017,170.0,167.0,4.5,,U,3.81,18 Jan 2017,Accepted,E-mail,PhD,"""University Of Washington Seattle",,Statistics,F17
4224,18 Jan 2017,,,,,A,,17 Jan 2017,Rejected,Website,PhD,NC State (NCSU),email to check online application,Statistics,F17
4225,18 Jan 2017,,,,,U,,18 Jan 2017,Rejected,Website,PhD,NCSU (North Carolina State University),,Statistics,F17
4226,18 Jan 2017,164.0,161.0,4.0,,,3.86,20 Dec 2016,Accepted,E-mail,PhD,NC State (North Carolina State),,Statistics,F17
4227,18 Jan 2017,,,,,A,,20 Dec 2016,Accepted,E-mail,PhD,NC State (North Carolina State),,Statistics,F17
4228,18 Jan 2017,162.0,159.0,4.0,,A,4.0,17 Jan 2017,Interview,E-mail,PhD,University Of Rochester,Got an interview. Super excited about this one!,Statistics,F17
4229,18 Jan 2017,,,,,,,17 Jan 2017,Accepted,E-mail,PhD,NC State (North Carolina State),,Statistics,F17
4230,17 Jan 2017,163.0,168.0,6.0,,A,3.84,20 Dec 2016,Accepted,E-mail,PhD,NC State (North Carolina State),,Statistics,F17
4231,17 Jan 2017,,,,,A,,17 Jan 2017,Accepted,E-mail,PhD,NC State (North Carolina State),,Statistics,F17
4232,15 Jan 2017,,,,,A,,20 Dec 2016,Accepted,E-mail,PhD,NCSU (North Carolina State University),,Statistics,F17
4233,13 Jan 2017,,,,,I,,13 Jan 2017,Accepted,E-mail,Masters,University Of Conneticut,,Statistics,F17
4234,13 Jan 2017,,,,,U,,12 Jan 2017,Accepted,E-mail,Masters,University Of Connecitcut (UConn),"from S Korea with a US bachelor's degree
Waiting for 7 more schools",Statistics,F17
4235,10 Jan 2017,,,,,I,,10 Jan 2017,Accepted,E-mail,Masters,The University Of Oxford,French undergrad. Average > 16.5/20. Two degrees,Statistical Science (Statistics),F17
4236,7 Jan 2017,165.0,158.0,4.0,,I,3.8,5 Jan 2017,Accepted,E-mail,PhD,Ohio State University(OSU),"Nominated the fellowship, the result will be notified by March......",Statistics,F17
4237,6 Jan 2017,170.0,170.0,5.0,,A,5.0,5 Jan 2017,Accepted,E-mail,PhD,Ohio State (OSU),,Statistics,F17
4238,4 Jan 2017,166.0,156.0,5.0,,A,3.65,3 Jan 2017,Accepted,E-mail,Masters,University Of Kentucky,,Statistics,F17
4239,13 Dec 2016,,,,,U,,13 Dec 2016,Rejected,E-mail,Masters,The University Of Oxford,,A.M. Statistics,F17
4240,7 Dec 2016,160.0,159.0,0.0,,A,,7 Dec 2016,Accepted,E-mail,Masters,TAMU (Texas A&M University),,Statistics,S17
4241,12 Oct 2016,,,,,,,11 Oct 2016,Accepted,Website,Masters,"Washington State University (WSU), Pullman",Checked the website and there was the acceptance certificate and an option to accept or decline the offer. Really liked Pullman. Thrilled to start grad school. Good luck to all who applied.,Statistics And Applied Mathematics MS,S17
4242,13 Jul 2016,,,,,A,,13 Jul 2016,Rejected,E-mail,Masters,Penn State (Pennsylvania State University),,Applied  Statistics,F16
4243,7 Jun 2016,,,,,A,,7 Jun 2016,Accepted,Website,PhD,North Dakota State University,On waiting list for financial assistance. Please decline if you not attending.,Applied  Statistics,F16
4244,7 Jun 2016,,,,,A,,7 Jun 2016,Accepted,Website,PhD,North Dakota State University,Accepted on May 31st. On waiting list for financial assistance. Please decline if you don't want to attend.,Applied  Statistics,F16
4245,7 Jun 2016,,,,,A,,7 Jun 2016,Accepted,Website,PhD,North Dakota State University,Accepted on May 31st. On waiting list for financial assistance. Please decline if you don't want to attend.,Applied  Statistics,F16
4246,7 Jun 2016,,,,,A,,7 Jun 2016,Accepted,Website,PhD,North Dakota State University,Accepted in May 31st. On waiting list for financial assistance. Please decline if you don't want to attend.rn,Applied And Computational Math And Statistics,F16
4247,1 Jun 2016,161.0,143.0,3.0,,I,3.5,20 May 2016,Accepted,E-mail,Masters,Utrecht University,"Received a Holland Scholarship
Senior year research is related to the topic of study",Methodology And Statistics For Biomedical And Social Sciences,F16
4248,1 Jun 2016,168.0,0.0,0.0,,I,3.8,18 May 2016,Accepted,E-mail,Masters,ETH,"I got email offer from the admission office, but I need to wait for receiving official letter by post within in six weeks. Is there anyone who know when official letter really arrive? I am accepted as the master's program in spring semester.",Statistics,F16
4249,31 May 2016,,,,,U,,27 May 2016,Accepted,E-mail,PhD,University Of Oxford,Two days of interviews with strong quantitative content,Statistics,F16
4250,24 May 2016,168.0,162.0,4.0,,A,3.83,24 May 2016,Accepted,E-mail,Masters,Eidgenössische Technische Hochschule Zürich (ETH Zurich),Accepted at 4:30 zurich time.,A.M. Statistics,F16
4251,17 May 2016,,,,,,,17 May 2016,Rejected,Website,Masters,Cambridge,Unsuccesful aplication after being in BoGS for one week. Thought I was already in. So disapointed,MASt Mathematical Statistics Part III Of Tripos,F16
4252,10 May 2016,,,,,O,,10 May 2016,Other,E-mail,Masters,The University Of Western Ontario (UWO),"Canadian Student. Applied very early and only received a response today. A professor contacted me asking for my second term marks and a possible enrolment as a masters student with him, but I had to decline since I already accepted an offer somewhere else.",Statistics,F16
4253,10 May 2016,,,,,I,,10 May 2016,Rejected,E-mail,PhD,University Of British Columbia (UBC),Finally!,Statistics,F16
4254,8 May 2016,,,,,U,,7 May 2016,Accepted,E-mail,Masters,Baruch College - CUNY,,MS Statistics,F16
4255,5 May 2016,,,,,I,,5 May 2016,Other,Website,Masters,University Of Camrbidge,"my status has been ""application with degree committee"" for 7 days, and I sent an email to the secretary few hours ago as I need to make decisions for other universities, then he changes my status to BOG!",MAST Mathematics And Statistics,F16
4256,29 Apr 2016,,,,,U,,27 Apr 2016,Accepted,E-mail,Masters,UC Irvine (UCI),,A.M. Statistics,F15
4257,29 Apr 2016,169.0,0.0,0.0,,I,3.9,29 Apr 2016,Accepted,E-mail,Masters,"McGill University (Montreal, Canada)",International student with a top Canadian Bachelor in Stats degree. Full fellowship supports！,A.M. Statistics,F16
4258,29 Apr 2016,,,,,I,,8 Apr 2016,Accepted,Website,PhD,The University Of New Hampshire,"I do not have assistantship please help me get a USA cosigner to take a loan in a USA bank with low interest. My immediate brother just traveled to USA as a green card winner, he will help me pay the loan ASAP. From Fall2017 I believe I will get assistantship/scholarship. Contact: llovyna@yahoo.com",Statistics,F16
4259,27 Apr 2016,167.0,166.0,4.0,,A,3.77,22 Apr 2016,Rejected,E-mail,Masters,University Of Washington,,Statistics,F16
4260,27 Apr 2016,,,,,I,,27 Apr 2016,Rejected,E-mail,PhD,Purdue University,,Statistics,F16
4261,25 Apr 2016,,,,,U,,25 Apr 2016,Rejected,Website,PhD,Chapel Hill-UNC,Email to check status and finally can check from website,Statistics,F16
4262,25 Apr 2016,,,,,A,,25 Apr 2016,Rejected,Website,PhD,UNC Chapel Hill,"Email to check website, after emailing several weeks ago to withdraw application due to accepting another offer.",Statistics,F16
4263,25 Apr 2016,,,,,U,,25 Apr 2016,Rejected,Website,Masters,The University Of North Carolina - Chapel Hill,,Statistics,F15
4264,23 Apr 2016,164.0,155.0,5.0,,A,3.33,23 Apr 2016,Rejected,E-mail,Masters,"The University Of California, Los Angeles (UCLA)",Rejection via email. Offered to apply to MAS program by May 1 (but did not b/c accepted another offer before the 15th).,Statistics,F16
4265,23 Apr 2016,,,,,U,,21 Apr 2016,Other,E-mail,Masters,Cambridge  University,"my friend got a offer from this program, but I didn't.  does this mean I will be rejected?",Statistics,F16
